Артикул;Название;Цена
756478591;"Ноутбук Modern 14 F1MG-485XRU Core 5 120U 16Gb SSD512Gb 14"" MSI";49260
822808149;Ноутбук игровой Thin 15 B2RVE-3451XRU (9S7-16R831) MSI;84724
539825994;"Ноутбук для работы и учебы Atlant 15,6"" IPS 16 512 GB Echips";29354
684144192;Ноутбук игровой Thin 15 B13UC-3287XRU (9S7-16R831-3287) MSI;75632
963932420;"Ноутбук для работы и учебы 16.1"" IPS 32ГБ 2ТБ SSD ";21609
709911406;Ноутбук игровой i5-13500H 12-ядер 16Gb SSD 512 Gb Iris Xe VELTRON;53980
473699767;"Ноутбук Megabook 15,6"" K15SDA R5-7430U 16Gb 512Gb TECNO";43642
1163081222;Ноутбук Modern 14S AI+ G3MG-011XRU MSI;70423
950192767;Ноутбук игровой Katana 17 B2RVEK-1617XRU (9S7-17L591-1617) MSI;93135
925981752;"16.1""Intel Core i7 Ноутбук, 32 ГБ, SSD 2ТБ для работы и игр ";20580
889348033;16.1”Intel Core i7 Ноутбук, 32 ГБ, SSD 2ТБ для работы и игр ;21095
519064374;Ноутбук MagicBook X14 2025 i3-1315U 8+512 без ОС(5301ALXB) HONOR;49800
1113407771;Ноутбук 16.1'' 32 ГБ + 2 ТБ для работы, учёбы и развлечений ;20958
995947565;Intel Core i7 Ноутбук, 32 ГБ, SSD 2ТБ для работы и игр ;20923
985376228;Intel Core i7 Ноутбук, 32 ГБ, SSD 2ТБ для работы и игр ;20992
377541501;"Ноутбук RBA-4500 15.6"", Ryzen 7 6800H, 32Gb, 512Gb SSD AZERTY";72617
934916597;"Ноутбук 15.6"" PRO Intel Core i3-1220P DDR4 16 ГБ SSD 512 ГБ Rikor";43337
923691286;"Ноутбук игровой для работы и учебы Ryzen 3 15.6"" 16ГБ 512ГБ Raish";29512
955385576;Ноутбук Aspire Lite AL15-32P-C1KD 15.6 Intel Celeron 1.1 ГГц Acer;30857
1091473170;"Ноутбук для работы и учебы 15.6"" Cel N4500 8 256Гб Acer";29975
879041650;"Ноутбук для работы и учебы Argentum 15,6"" 12 512 GB Echips";26565
879041649;"Ноутбук для работы и учебы Argentum 15,6"" 12 512 GB Echips";26945
468809676;"Мощный ноутбук CoreBook Plus 16"" R5-7430U, 16ГБ+512ГБ, Win 1… CHUWI";45562
968639800;игровой ноутбук 32 ГБ + 2 ТБ для работы, учёбы и развлечений ;30967
1141418165;"Ноутбук Thin 15 15.6"" i5-13420H 16GB 1TB RTX3050 4GB W11p MSI";74223
821497844;"Ноутбук MateBook 14"" WUXGA Intel Core i5 13420H 16GB 1TB SSD Huawei";66297
539825994;"Ноутбук для работы и учебы Atlant 15,6"" IPS 16 512 GB Echips";29354
256286306;"Ноутбук для работы и учебы 15,6"" IPS RAM 8 GB SSD 256 GB Echips";24667
270762735;"Ноутбук для работы и учебы Taganay 15,6"" IPS 16 512 GB Echips";29221
879041649;"Ноутбук для работы и учебы Argentum 15,6"" 12 512 GB Echips";26945
859126078;"Игровой ноутбук Rush 16"", 16 512 GB, NVIDIA GTX1050, Core i7 Echips";56166
523358337;"Игровой ноутбук Fusion 15.6"" IPS 16 512 GB Echips";44781
523358338;"Ноутбук для работы и учебы Fusion 15.6"" IPS 16 512 GB Echips";51612
859094794;"Ноутбук для работы и учебы Taganay 15,6"" IPS 16 512 GB Echips";29601
879041650;"Ноутбук для работы и учебы Argentum 15,6"" 12 512 GB Echips";26565
566938282;"Игровой ноутбук Rush 16"" IPS 16 512 GB Echips";61479
859105127;"Ноутбук для работы и учебы Taganay 15,6"" IPS 8 256 GB Echips";25426
539825996;"Игровой ноутбук Atlant 15,6"" IPS 16 512 GB, Ryzen 5, Vega 7 Echips";44325
284082008;"Ноутбук для работы и учебы Argentum 15,6"" 16 512 GB Echips";37115
